"","name","latitude","longitude","start.station.id"
"383","West End Ave & W 107 St",40.8021174,-73.96818053,3366
"384","Scholes St & Manhattan Ave",40.70870368,-73.9448625,3076
"385","E 58 St & 1 Ave (NE Corner)",40.75892386,-73.96226227,3243
"386","34 Ave & 38 St",40.756913,-73.921631,3572
"387","Frederick Douglass Blvd & W 115 St",40.8038654,-73.9559308,3630
"388","E 81 St & 3 Ave",40.77573034,-73.9567526,3146
"389","St. Nicholas Ave & W 126 St",40.8114323,-73.9518776,3533
"390","Madison Ave & E 99 St",40.78948542,-73.95242929,3345
"391","E 103 St & Lexington Ave",40.7903051,-73.94755757,3379
"392","Laight St & Hudson St",40.72185379,-74.00771779,248
"393","45 Rd & 11 St",40.74708586,-73.94977234,3125
"394","E 93 St & 2 Ave",40.78245418,-73.94891962,3296
"395","W 90 St & Amsterdam Ave",40.79017948,-73.97288918,3289
"396","Banker St & Meserole Ave",40.72606,-73.95621,3109
"397","44 Dr & 21 St",40.748,-73.9460927,3615
"398","E 88 St & Park Ave",40.7814107,-73.95595908,3284
"399","India St & West St",40.73181402,-73.95995021,3469
"400","N 11 St & Kent Ave",40.72248189,-73.95921931,3693
"401","S 4 St & Rodney St",40.70934,-73.95608,3080
"402","E 66 St & Madison Ave",40.76800889,-73.96845281,3355
"403","3 Ave & E 72 St",40.7699426,-73.96060712,3375
"404","W 16 St & 8 Ave",40.74102151,-74.00138497,3660
"405","Graham Ave & Withers St",40.7169811,-73.94485918,3094
"406","2 Ave & E 104 St",40.7892105,-73.94370784,3425
"407","Vernon Blvd & 47 Rd",40.7449067,-73.9534573,3611
"408","Lexington Ave & E 111 St",40.7954121,-73.9441232,3502
"409","Bayard St & Leonard St",40.71915572,-73.94885391,3452
"410","E 68 St & Madison Ave",40.7691572,-73.96703464,3359
"411","East End Ave & E 86 St",40.77518615,-73.94446054,3157
"412","E 60 St & York Ave",40.759107,-73.959223,2022
"413","Leonard St & Maujer St",40.71036854,-73.94705951,3454
"414","28 St & 41 Ave",40.751047,-73.93797,3555
"415","W 104 St & Amsterdam Ave",40.79904139,-73.9664948,3689
"416","Center Blvd & 51 Ave",40.74336608,-73.95960689,3726
"417","3 Ave & E 95 St",40.7845968,-73.94968539,3675
"418","31 Ave & 34 St",40.763154,-73.920827,3602
"419","21 St & Queens Plaza North",40.75325964,-73.94335788,3130
"420","Central Park West & W 102 St",40.795346,-73.96186,3341
"421","43 St & Broadway",40.7577284,-73.9166368,3597
"422","E 67 St & Park Ave",40.7678008,-73.96592081,3231
"423","Pearl St & Anchorage Pl",40.70281858,-73.98765762,414
"424","W 113 St & Broadway",40.805973,-73.964928,3552
"425","W 107 St & Columbus Ave",40.7997568,-73.96211287,3343
"426","Lenox Ave & W 115 St",40.8011939,-73.9500739,3509
"427","W 116 St & Broadway",40.8082,-73.9641,3536
"428","Montrose Ave & Bushwick Ave",40.70767788,-73.94016171,3074
"429","E 109 St & 3 Ave",40.79329668,-73.9432083,3390
"430","27 St & Hunter St",40.7485,-73.941275,3618
"431","Mt Morris Park W & W 120 St",40.804038,-73.945925,3535
"432","Graham Ave & Herbert St",40.71929301,-73.94500379,3095
"433","E 115 St & Lexington Ave",40.797911,-73.9423,3494
"434","Adam Clayton Powell Blvd & W 123 St",40.8078316,-73.949373,3510
"435","2 Ave & E 99 St",40.7862586,-73.94552579,3338
"436","Crescent St & Broadway",40.7633589,-73.9286471,3592
"437","Amsterdam Ave & W 125 St",40.813358,-73.956461,3541
"438","N 15 St & Wythe Ave",40.724055,-73.955736,3105
"439","Vernon Blvd & 10 St",40.7671863,-73.9373554,3588
"440","Front St & Gold St",40.70224,-73.982578,418
"441","Bushwick Ave & Powers St",40.71247661,-73.94100005,3083
"442","Union Ave & Jackson St",40.7160751,-73.952029,3088
"443","Center Blvd & 48 Ave",40.745038,-73.957539,3613
"444","E 118 St & 1 Ave",40.79747,-73.93504,3491
"445","Wyckoff Av & Jefferson St",40.707165,-73.923711,3763
"446","Adam Clayton Powell Blvd & W 126 St",40.80949535,-73.94776493,3629
"447","E 106 St & Madison Ave",40.7934337,-73.94945003,3387
"448","Pitt St & Stanton St",40.71926081,-73.98178024,400
"449","W 120 St & Claremont Ave",40.8109494,-73.9634,3623
"450","E 123 St & Lexington Ave",40.8029263,-73.9379,3504
